"id","titulo","texto","data","url"
1,"guaruja - par. 1","Guarujá é um município brasileiro do estado de São Paulo. Localiza-se na Região Metropolitana da Baixada Santista. A população, segundo a dados do IBGE de 2022,[4] é de 287 634 habitantes. Possui uma área de 144,794 km²,[4] o que resulta numa densidade demográfica de 1 986,50 habitante/km².[4] Geograficamente, situa-se na Ilha de Santo Amaro, terceira maior ilha do litoral paulista. O município é formado pela sede e pelo distrito de Vicente de Carvalho.[7][8]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
2,"guaruja - par. 2","Atualmente, a cidade de Guarujá é conhecida como a ""Pérola do Atlântico"", devido às suas belas praias e belezas naturais. Muito procurada pelos turistas na alta temporada, a cidade conta com praias urbanizadas e algumas selvagens, acessíveis apenas por trilhas. Além do litoral, Guarujá oferece construções históricas e trilhas de ecoturismo. Outra atração local é a pesca artesanal, que pode ser vista e praticada em diversas praias do município ao longo de sua orla. Anualmente, a cidade recebe mais de 1,5 milhão de turistas de diversas partes do país.[9]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
3,"guaruja - par. 3","Guarujá é um dos quinze municípios paulistas considerados estâncias balneárias pelo estado de São Paulo, por cumprirem determinados pré-requisitos definidos por lei estadual. Tal status garante a esses municípios uma verba maior por parte do Estado para a promoção do turismo regional. O município também adquire o direito de agregar junto a seu nome o título de estância balneária, termo pelo qual passa a ser designado tanto pelo expediente municipal oficial quanto pelas referências estaduais.[10]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
4,"guaruja - par. 4","Conforme explica Eduardo Navarro em seu Dicionário de Tupi Antigo (2013), ""Guarujá"" é derivado do termo tupi agûarausá, que designa um tipo de caranguejo, o guaruçá.[11]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
5,"guaruja - par. 5","A Ilha de Santo Amaro surge em sua atual forma no final da Era Glacial, entre 20 000e 123 000 anos atrás, quando o Canal de Bertioga e o Estuário de Santos são abertos com a contínua elevação do nível do Oceano Atlântico e criam a atual ilha, separando-a do continente.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
6,"guaruja - par. 6","Os primeiros habitantes foram os chamados povos dos sambaquis, grupo humano seminômade que habitou o litoral sul/sudeste brasileiro após o final da Era Glacial. Esses povos viviam da coleta de moluscos, conchas, mexilhões e demais alimentos marinhos, além de frutas e raízes, e caçavam pequenos animais e peixes. Não conheciam a agricultura e o único registro conhecido de sua existência são os montes de restos de conchas e outros dejetos dessas populações. Os montes são chamados de sambaquis e estão espalhados pelo litoral. Em Guarujá, foram localizados sambaquis nas praias da Ilha do Mar Casado e Pernambuco.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
7,"guaruja - par. 7","Após a era dos sambaquis, a ilha passa a ser visitada por grupos tupi, que deram o primeiro nome à ilha: Guaibê (lugar de caranguejos) e também Guaru-ya (passagem estreita). Os tupis não habitaram a ilha, permanecendo no entorno da Serra do Mar e no Planalto Paulista, mas usavam a frequentavam a área para a colheita de sal e para a pesca.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
8,"guaruja - par. 8","Em 22 de janeiro de 1502, os primeiros europeus pisaram na ilha. André Gonçalves e Américo Vespúcio aportaram na praia de Santa Cruz dos Navegantes, depois seguindo viagem à ilha de São Vicente.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
9,"guaruja - par. 9","A ilha, pantanosa e acidentada, não atrai a atenção dos colonizadores portugueses, que preferem centrar esforços na vizinha ilha de São Vicente, esta mais ampla e salubre e contando com um acesso privilegiado ao Planalto Paulistano, através de trilhas indígenas. Apesar do desinteresse, alguns colonos portugueses acabaram se instalando na costa ocidental de Santo Amaro, sobrevivendo de agricultura de subsistência, pesca e reparos de embarcações utilizadas no estuário de Santos.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
10,"guaruja - par. 10","Em 1543, quando da primeira divisão territorial brasileira, toda a região entre a ilha de Santo Amaro e a barra do rio Juqueririê  (futuros municípios de Guarujá, Bertioga e parte de São Sebastião) é concedida a Pero Lopes de Sousa por seu irmão Martim Afonso de Sousa, sob o nome de capitania de Santo Amaro. A capitania, sem recursos naturais de importância e sem ligações com o Planalto, não se desenvolve. As únicas ações visando a ocupar o território são a construção dos fortes de São João e São Filipe, destinados a proteção do porto do Santos, uma beneficiadora de óleo de baleia no extremo norte da ilha, na desembocadura do Canal de Bertioga, e a ação de alguns grupos de jesuítas para a catequese de índios.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
11,"guaruja - par. 11","Durante toda a fase colonial e imperial, a ilha não atrai atenção, sendo povoada apenas por colonos pontuais e por pequenos sítios destinados a esconder escravos contrabandeados da África. 
No fim do século XIX, o surgimento do turismo, o desenvolvimento da economia paulista e a existência de um acesso ferroviário rápido e fácil entre o litoral e o Planalto Paulista, provocam um novo interesse pela ilha de Santo Amaro.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
12,"guaruja - par. 12","Em 1892, surge a Companhia Prado Chaves, que tem por finalidade a criação de uma vila balneária na praia de Pitangueiras e a exploração do turismo na ilha. Para a vila, são encomendadas 46 casas de madeira nos Estados Unidos e um hotel de luxo, contando inclusive com um cassino. O hotel, batizado de La Plage, foi também construído com a mesma madeira com que foram feitas as casas. Além da vila, a Companhia construiu uma linha férrea ligando o estuário de Santos à praia de Pitangueiras, batizada de Tramway de Guarujá, bem como o primeiro serviço regular de navegação entre Santos e Guarujá.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
13,"guaruja - par. 13","O empreendimento é inaugurado em 2 de setembro de 1893 e torna-se reduto da classe alta paulistana durante o verão, inclusive com a presença do presidente do Estado e de seus secretários. Esta data é também considerada a de fundação do município, quando Guarujá foi promovido a Vila Balneária.[12]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
